Subject,Grade,QuestionText,Description,questionType,optionA,optionB,optionC,optionD,correctAnswers,difficultyLevel,dokLevel,standard,contentFocus,Competencies,,,
English,Grade 1,Which two words rhyme?,Select all words that rhyme,MultipleSelect,hat,cat,run,sun,"[A,B]",155,1,CCSS.ELA.RF.1.2,phonological awareness,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.5",,,
English,Grade 1,Which are naming words (nouns)?,Select all nouns,MultipleSelect,quickly,run,dog,ball,"[C,D]",162,1,CCSS.ELA.L.1.1,parts of speech,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 1,Which words have the same beginning sound?,Select words with the same initial sound,MultipleSelect,sun,moon,mat,star,"[B,C]",158,1,CCSS.ELA.RF.1.2,phonemic awareness,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.4",,,
English,Grade 1,Which two could be the main character in a story?,Select all that could be main characters,MultipleSelect,a rabbit,a girl,the wind,a rock,"[A,B]",172,2,CCSS.ELA.RL.1.3,characters and events,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.10",,,
English,Grade 1,Which are action words (verbs)?,Select all verbs,MultipleSelect,red,blue,jump,skip,"[C,D]",165,1,CCSS.ELA.L.1.1,verbs,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 1,Which two belong in a sentence that tells what happened first?,Select words that show order,MultipleSelect,then,first,red,big,"[A,B]",170,2,CCSS.ELA.RL.1.2,sequence and retell,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.5",,,
English,Grade 1,Which words describe how something looks?,Select all describing words,MultipleSelect,fast,round,soft,run,"[B,C]",160,1,CCSS.ELA.L.1.1,adjectives,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5",,,
English,Grade 1,Which two tell you about the setting of a story?,Select details that describe setting,MultipleSelect,he ran,at night,in the forest,she said,"[B,C]",175,2,CCSS.ELA.RL.1.1,key details and setting,"CCSS.ELA.CCR.R.1, CCSS.ELA.CCR.R.3",,,
English,Grade 1,Which are complete sentences?,Select all complete sentences,MultipleSelect,The dog runs.,I like to play.,Big red.,Runs fast.,"[A,B]",178,2,CCSS.ELA.L.1.1,complete sentences,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2",,,
English,Grade 2,Which two words are synonyms?,Select all word pairs that mean the same,MultipleSelect,fast and quick,up and down,hot and cold,big and large,"[A,D]",185,2,CCSS.ELA.L.2.5,word relationships,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.5",,,
English,Grade 2,Which are compound words?,Select all compound words,MultipleSelect,doghouse,cat,run,sunflower,"[A,D]",182,1,CCSS.ELA.L.2.4,compound words,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6",,,
English,Grade 2,Which two show the moral or lesson of a fable?,Select possible lessons,MultipleSelect,Work together.,The sky is blue.,Be kind.,Two plus two is four.,"[A,C]",192,2,CCSS.ELA.RL.2.2,central message,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9",,,
English,Grade 2,Which words have a long vowel sound?,Select words with long vowel,MultipleSelect,hop,ride,cake,cat,"[B,C]",188,1,CCSS.ELA.RF.2.3,vowel patterns,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.L.4",,,
English,Grade 2,Which are correct ways to show someone is speaking?,Select punctuation for dialogue,MultipleSelect,Hi she said,"She said, ""Hi.""",he said hello,"""Hello,"" he said.","[B,D]",190,2,CCSS.ELA.L.2.2,punctuation and dialogue,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.W.4",,,
English,Grade 2,Which two are reasons an author might write a book?,Select author's purposes,MultipleSelect,to entertain,to erase,to inform,to forget,"[A,C]",195,2,CCSS.ELA.RI.2.6,author's purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8",,,
English,Grade 2,Which words are plural?,Select all plural nouns,MultipleSelect,box,book,dogs,cats,"[C,D]",180,1,CCSS.ELA.L.2.1,plural nouns,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2",,,
English,Grade 2,Which two help you figure out an unknown word?,Select context clues strategies,MultipleSelect,skipping the word,pictures nearby,closing your eyes,other words in the sentence,"[B,D]",200,2,CCSS.ELA.L.2.4,context clues,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.R.4",,,
English,Grade 2,Which are facts (not opinions)?,Select all factual statements,MultipleSelect,Dogs have four legs.,Water boils at 100°C.,Dogs are the best.,Summer is fun.,"[A,B]",197,2,CCSS.ELA.RI.2.8,fact vs opinion,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.R.10",,,
English,Grade 3,Which two are main ideas of a paragraph?,Select possible main ideas,MultipleSelect,The sky is blue.,Many animals live in the ocean.,Recycling helps the planet.,Two plus two is four.,"[B,C]",208,2,CCSS.ELA.RI.3.2,main idea,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.10",,,
English,Grade 3,Which words are adjectives?,Select all adjectives,MultipleSelect,quickly,enormous,run,beautiful,"[B,D]",205,1,CCSS.ELA.L.3.1,adjectives,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 3,Which two compare or contrast two characters?,Select comparison language,MultipleSelect,The end.,Both are brave.,Unlike her sister,A dog ran.,"[B,C]",212,2,CCSS.ELA.RL.3.3,compare characters,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.9",,,
English,Grade 3,Which are prefixes?,Select all prefixes,MultipleSelect,un-,re-,#NAME?,cat,"[A,B]",202,1,CCSS.ELA.L.3.4,prefixes and suffixes,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.L.6",,,
English,Grade 3,Which two show cause and effect?,Select cause-effect pairs,MultipleSelect,ice and melting,rain and wet ground,sun and moon,red and blue,"[A,B]",215,2,CCSS.ELA.RI.3.3,cause and effect,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.8",,,
English,Grade 3,Which words are adverbs?,Select all adverbs,MultipleSelect,slowly,run,quick,very,"[A,D]",210,1,CCSS.ELA.L.3.1,adverbs,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 3,Which two are supporting details for a main idea?,Select supporting details,MultipleSelect,For example,The end.,First,I think so.,"[A,C]",220,2,CCSS.ELA.RI.3.2,supporting details,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.8",,,
English,Grade 3,Which are simple sentences?,Select all simple sentences,MultipleSelect,She ran.,After school we play.,When I woke up I ate.,The dog barked.,"[A,D]",213,2,CCSS.ELA.L.3.1,sentence types,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 3,Which two help you understand a character's feelings?,Select character clues,MultipleSelect,the title,what they do,what they say,the page number,"[B,C]",222,2,CCSS.ELA.RL.3.3,character traits,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.4",,,
English,Grade 4,Which two are themes in a story?,Select possible themes,MultipleSelect,One two three.,The cat sat.,Honesty is best.,Friendship matters.,"[C,D]",228,2,CCSS.ELA.RL.4.2,theme,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9",,,
English,Grade 4,Which words are pronouns?,Select all pronouns,MultipleSelect,they,she,book,run,"[A,B]",225,1,CCSS.ELA.L.4.1,pronouns,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 4,Which two are first-person narrators?,Select first-person clues,MultipleSelect,We saw the game.,I went to the store.,He ran home.,They said hello.,"[A,B]",232,2,CCSS.ELA.RL.4.6,point of view,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.4",,,
English,Grade 4,Which are types of context clues?,Select context clue types,MultipleSelect,example given,random word,synonym,definition in sentence,"[A,C,D]",235,2,CCSS.ELA.L.4.4,context clues,"CCSS.ELA.CCR.L.4, CCSS.ELA.CCR.R.4",,,
English,Grade 4,Which two are evidence from the text?,Select textual evidence,MultipleSelect,the author's name,the page number only,a quote from the story,a detail that supports the main idea,"[C,D]",240,2,CCSS.ELA.RI.4.8,evidence and reasoning,"CCSS.ELA.CCR.R.1, CCSS.ELA.CCR.R.8",,,
English,Grade 4,Which words are prepositions?,Select all prepositions,MultipleSelect,on,in,under,run,"[A,B,C]",230,1,CCSS.ELA.L.4.1,prepositions,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 4,Which two describe the structure of a poem?,Select poetic structure,MultipleSelect,stanzas,rhyme,water is wet,numbers,"[A,B]",242,2,CCSS.ELA.RL.4.5,text structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.10",,,
English,Grade 4,Which are conjunctions?,Select all conjunctions,MultipleSelect,or,and,but,quickly,"[A,B,C]",233,1,CCSS.ELA.L.4.2,conjunctions,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.2",,,
English,Grade 4,Which two make an argument stronger?,Select elements of argument,MultipleSelect,evidence,typos,reasons,unrelated facts,"[A,C]",245,3,CCSS.ELA.RI.4.8,argument and evidence,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 5,Which two are metaphors or similes?,Select figurative language,MultipleSelect,the cat sat,her smile was sunshine,the dog ran,as brave as a lion,"[B,D]",252,2,CCSS.ELA.L.5.5,figurative language,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4",,,
English,Grade 5,Which are ways to organize informational text?,Select text structures,MultipleSelect,no structure,compare and contrast,cause and effect,random order,"[B,C]",255,2,CCSS.ELA.RI.5.5,text structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.10",,,
English,Grade 5,Which two show an author's perspective?,Select author perspective clues,MultipleSelect,word choice,font size,opinions stated,page numbers,"[A,C]",258,2,CCSS.ELA.RI.5.6,author's point of view,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8",,,
English,Grade 5,Which words have a negative connotation?,Select words with negative tone,MultipleSelect,determined,lazy,stubborn,active,"[B,C]",250,2,CCSS.ELA.L.5.5,word connotations,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.L.6",,,
English,Grade 5,Which two are primary sources?,Select primary sources,MultipleSelect,a letter from the time,a diary entry,a textbook summary,a movie,"[A,B]",260,2,CCSS.ELA.RI.5.9,primary vs secondary,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.W.8",,,
English,Grade 5,Which are verb tenses?,Select correct verb forms,MultipleSelect,walked,quickly,run fast,will walk,"[A,D]",248,1,CCSS.ELA.L.5.1,verb tense,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 5,Which two summarize a story well?,Select good summary traits,MultipleSelect,page numbers,key characters,every small detail,main events only,"[B,D]",265,2,CCSS.ELA.RL.5.2,summary,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.10",,,
English,Grade 5,Which are transition words?,Select transition words,MultipleSelect,finally,one,red,however,"[A,D]",253,2,CCSS.ELA.W.5.2,transitions,"CCSS.ELA.CCR.W.4, CCSS.ELA.CCR.R.5",,,
English,Grade 5,Which two make a narrative engaging?,Select narrative techniques,MultipleSelect,random lists,page count,sensory details,dialogue,"[C,D]",268,2,CCSS.ELA.RL.5.4,narrative craft,"CCSS.ELA.CCR.R.4, CCSS.ELA.CCR.W.3",,,
English,Grade 6,Which two are central ideas of an article?,Select central ideas,MultipleSelect,Climate affects ecosystems.,Two plus two.,Recycling reduces waste.,The sky is blue.,"[A,C]",275,2,CCSS.ELA.RI.6.2,central idea,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.10",,,
English,Grade 6,Which words are subjective (opinion)?,Select subjective language,MultipleSelect,three meters,unfair,beautiful,factual,"[B,C]",272,2,CCSS.ELA.RI.6.6,objective vs subjective,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.L.5",,,
English,Grade 6,Which two are types of evidence in an argument?,Select types of evidence,MultipleSelect,off-topic detail,statistics,personal taste only,expert quote,"[B,D]",278,2,CCSS.ELA.RI.6.8,argument and evidence,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 6,Which are elements of plot?,Select plot elements,MultipleSelect,climax,page number,font,exposition,"[A,D]",270,2,CCSS.ELA.RL.6.3,plot structure,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.5",,,
English,Grade 6,Which two show author's purpose?,Select author's purpose clues,MultipleSelect,persuasive language,page count,random words,informative tone,"[A,D]",276,2,CCSS.ELA.RI.6.6,author's purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8",,,
English,Grade 6,Which are correctly punctuated?,Select correct punctuation,MultipleSelect,"She said ""Hello."""",""Hi"""" he said.""",The dog ran.,I like apples oranges and bananas.,"[A,C]",273,2,CCSS.ELA.L.6.2,punctuation,"CCSS.ELA.CCR.L.2, CCSS.ELA.CCR.L.3",,,,
English,Grade 6,Which two are themes across two texts?,Select common themes,MultipleSelect,courage,justice,a date,one character's name,"[A,B]",284,2,CCSS.ELA.RL.6.9,compare texts,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.2",,,
English,Grade 6,Which words are academic vocabulary?,Select academic terms,MultipleSelect,conclude,analyze,thing,stuff,"[A,B]",271,2,CCSS.ELA.L.6.6,academic vocabulary,"CCSS.ELA.CCR.L.6, CCSS.ELA.CCR.R.4",,,
English,Grade 6,Which two support a claim?,Select supporting elements,MultipleSelect,irrelevant details,reasons,evidence,opinions only,"[B,C]",286,2,CCSS.ELA.RI.6.8,support claims,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.9",,,
English,Grade 7,Which two are implied themes?,Select implied themes,MultipleSelect,The sky is blue.,Standing up for others matters.,Working hard pays off.,One two three.,"[B,C]",292,2,CCSS.ELA.RL.7.2,theme development,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.9",,,
English,Grade 7,Which are rhetorical devices?,Select rhetorical devices,MultipleSelect,the end,question to audience,repetition,random word,"[B,C]",290,2,CCSS.ELA.RI.7.6,rhetoric,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.R.8",,,
English,Grade 7,Which two show how structure supports meaning?,Select structure and meaning,MultipleSelect,short sentences for tension,flashback for past,font size,page numbers,"[A,B]",295,2,CCSS.ELA.RL.7.5,structure and meaning,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.10",,,
English,Grade 7,Which words have a formal tone?,Select formal language,MultipleSelect,yeah,nevertheless,nope,however,"[B,D]",288,2,CCSS.ELA.L.7.3,style and tone,"CCSS.ELA.CCR.L.3, CCSS.ELA.CCR.L.6",,,
English,Grade 7,Which two are counterclaims?,Select counterclaim language,MultipleSelect,The sky is blue.,However opponents say,Some argue that,Facts show that.,"[B,C]",296,2,CCSS.ELA.RI.7.8,argument and counterclaim,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 7,Which are phrases vs clauses?,Select phrases (not full clauses),MultipleSelect,the dog ran,after the game,in the morning,she left,"[B,C]",291,2,CCSS.ELA.L.7.1,phrases and clauses,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 7,Which two compare two authors' presentations?,Select comparison points,MultipleSelect,emphasis different,tone,page length only,evidence used,"[A,B,D]",300,2,CCSS.ELA.RI.7.9,compare authors,"CCSS.ELA.CCR.R.9, CCSS.ELA.CCR.R.8",,,
English,Grade 7,Which words are precise (not vague)?,Select precise words,MultipleSelect,sprinted,ran quickly,thing,stuff,"[A,B]",294,2,CCSS.ELA.L.7.3,word choice,"CCSS.ELA.CCR.L.3, CCSS.ELA.CCR.W.4",,,
English,Grade 7,Which two develop character in a drama?,Select character development,MultipleSelect,stage directions,page numbers,font,dialogue,"[A,D]",302,2,CCSS.ELA.RL.7.3,drama and character,"CCSS.ELA.CCR.R.3, CCSS.ELA.CCR.R.5",,,
English,Grade 8,Which two are central ideas with supporting evidence?,Select well-supported central ideas,MultipleSelect,main idea with statistic,unsupported claim,random detail,main idea with quote,"[A,D]",308,2,CCSS.ELA.RI.8.2,central idea and support,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.8",,,
English,Grade 8,Which are types of irony?,Select irony types,MultipleSelect,literal statement,situational,dramatic,fact,"[B,C]",306,2,CCSS.ELA.RL.8.6,irony and point of view,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.L.5",,,
English,Grade 8,Which two show how an author responds to conflicting viewpoints?,Select response to viewpoints,MultipleSelect,acknowledges then refutes,addresses counterclaim,ignores opposition,changes subject,"[A,B]",312,2,CCSS.ELA.RI.8.6,conflicting viewpoints,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 8,Which words show bias?,Select biased language,MultipleSelect,reported,measured,obviously,clearly,"[C,D]",304,2,CCSS.ELA.RI.8.6,bias and perspective,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.L.5",,,
English,Grade 8,Which two are strong textual evidence?,Select strong evidence,MultipleSelect,off-topic,paraphrase with citation,unsupported opinion,direct quote,"[B,D]",310,2,CCSS.ELA.RI.8.1,textual evidence,"CCSS.ELA.CCR.R.1, CCSS.ELA.CCR.W.9",,,
English,Grade 8,Which are active voice?,Select active voice sentences,MultipleSelect,The ball was thrown.,The game was won.,The team won the game.,She wrote the letter.,"[C,D]",305,2,CCSS.ELA.L.8.1,active and passive,"CCSS.ELA.CCR.L.1, CCSS.ELA.CCR.L.3",,,
English,Grade 8,Which two relate to author's purpose and audience?,Select purpose and audience,MultipleSelect,formal for experts,topic only,page count,casual for peers,"[A,D]",318,2,CCSS.ELA.RI.8.6,audience and purpose,"CCSS.ELA.CCR.R.6, CCSS.ELA.CCR.SL.4",,,
English,Grade 8,Which words are domain-specific?,Select domain-specific terms,MultipleSelect,photosynthesis,ecosystem,good,nice,"[A,B]",307,2,CCSS.ELA.L.8.6,domain vocabulary,"CCSS.ELA.CCR.L.6, CCSS.ELA.CCR.R.4",,,
English,Grade 8,Which two analyze how structure contributes to theme?,Select structure and theme,MultipleSelect,font choice,repeated symbol,page numbers,parallel plots,"[B,D]",320,2,CCSS.ELA.RL.8.5,structure and theme,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.2",,,
English,Grade 9,Which two are themes developed through symbolism?,Select symbolic themes,MultipleSelect,journey as growth,literal description,light as hope,page count,"[A,C]",325,2,CCSS.ELA.RL.9-10.2,theme and symbolism,"CCSS.ELA.CCR.R.2, CCSS.ELA.CCR.R.4",,,
English,Grade 9,Which are types of reasoning in argument?,Select reasoning types,MultipleSelect,random claim,logical appeal,emotional appeal,typo,"[B,C]",322,2,CCSS.ELA.RI.9-10.8,argument and rhetoric,"CCSS.ELA.CCR.R.8, CCSS.ELA.CCR.W.1",,,
English,Grade 9,Which two show how an author builds an argument?,Select argument structure,MultipleSelect,claim then evidence,addresses counterclaim,no structure,unrelated facts,"[A,B]",328,2,CCSS.ELA.RI.9-10.5,argument structure,"CCSS.ELA.CCR.R.5, CCSS.ELA.CCR.R.8",,,
English,Grade 9,Which words indicate tone?,Select tone indicators,MultipleSelect,the,solemn,sarcastic,the,"[B,C]",320,2,CCSS.ELA.L.9-10.5,tone and meaning,"CCSS.ELA.CCR.L.5, CCSS.ELA.CCR.R.4",,,
